  Title : TRcurve_10mm_SDS_750nm_30secInt_20mlIL_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-03-31
  Time : 11:59:37
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
6.846635 42
6.852743 43
6.858851 51
6.864958 36
6.871066 42
6.877173 42
6.883281 32
6.889389 45
6.895496 37
6.901604 44
6.907711 35
6.913819 47
6.919927 31
6.926034 37
6.932142 42
6.938249 46
6.944357 46
6.950465 43
6.956572 40
6.962680 38
6.968788 34
6.974895 44
6.981003 42
6.987110 35
6.993218 41
6.999326 37
7.005433 39
7.011541 48
7.017648 36
7.023756 51
7.029864 54
7.035971 47
7.042079 31
7.048187 41
7.054294 50
7.060402 47
7.066509 47
7.072617 35
7.078725 38
7.084832 37
7.090940 35
7.097047 39
7.103155 42
7.109263 42
7.115370 36
7.121478 42
7.127586 35
7.133693 41
7.139801 42
7.145908 44
7.152016 48
7.158124 42
7.164231 46
7.170339 54
7.176446 40
7.182554 42
7.188662 46
7.194769 35
7.200877 38
7.206984 36
7.213092 43
7.219200 35
7.225307 45
7.231415 49
7.237523 49
7.243630 38
7.249738 44
7.255845 36
7.261953 39
7.268061 33
7.274168 54
7.280276 38
7.286383 50
7.292491 51
7.298599 42
7.304706 32
7.310814 50
7.316922 49
7.323029 27
7.329137 34
7.335244 31
7.341352 51
7.347460 47
7.353567 43
7.359675 31
7.365782 40
7.371890 44
7.377998 48
7.384105 38
7.390213 31
7.396321 47
7.402428 49
7.408536 32
7.414643 38
7.420751 48
7.426859 41
7.432966 35
7.439074 40
7.445181 43
7.451289 41
7.457397 33
7.463504 36
7.469612 34
7.475720 45
7.481827 29
7.487935 43
7.494042 31
7.500150 32
7.506258 27
7.512365 44
7.518473 40
7.524580 42
7.530688 48
7.536796 40
7.542903 44
7.549011 42
7.555118 38
7.561226 47
7.567334 38
7.573441 39
7.579549 38
7.585657 50
7.591764 46
7.597872 36
7.603979 42
7.610087 34
7.616195 44
7.622302 38
7.628410 46
7.634517 43
7.640625 46
7.646733 24
7.652840 50
7.658948 41
7.665056 42
7.671163 40
7.677271 40
7.683378 39
7.689486 43
7.695594 31
7.701701 37
7.707809 36
7.713916 42
7.720024 50
7.726132 41
7.732239 52
7.738347 39
7.744455 52
7.750562 39
7.756670 35
7.762777 38
7.768885 43
7.774993 41
7.781100 42
7.787208 44
7.793315 35
7.799423 42
7.805531 35
7.811638 44
7.817746 33
7.823854 49
7.829961 46
7.836069 38
7.842176 33
7.848284 40
7.854392 46
7.860499 44
7.866607 35
7.872714 27
7.878822 43
7.884930 52
7.891037 37
7.897145 45
7.903252 50
7.909360 47
7.915468 38
7.921575 47
7.927683 36
7.933791 44
7.939898 47
7.946006 42
7.952113 24
7.958221 33
7.964329 42
7.970436 41
7.976544 43
7.982651 35
7.988759 35
7.994867 30
8.000974 33
8.007082 58
8.013190 32
8.019297 44
8.025405 46
8.031512 52
8.037620 32
8.043728 37
8.049835 39
8.055943 39
8.062050 42
8.068158 46
8.074266 39
8.080373 49
8.086481 33
8.092589 44
8.098696 47
8.104804 57
8.110911 30
8.117019 30
8.123127 53
8.129234 30
8.135342 35
8.141449 46
8.147557 47
8.153665 60
8.159772 36
8.165880 39
8.171988 43
8.178095 46
8.184203 47
8.190310 44
8.196418 39
8.202526 44
8.208633 44
8.214741 37
8.220848 34
8.226956 34
8.233064 44
8.239171 55
8.245279 40
8.251386 39
8.257494 23
8.263602 48
8.269709 50
8.275817 44
8.281925 41
8.288032 46
8.294140 46
8.300247 33
8.306355 41
8.312463 49
8.318570 26
8.324678 57
8.330785 35
8.336893 40
8.343001 40
8.349108 57
8.355216 42
8.361324 39
8.367431 39
8.373539 38
8.379646 52
8.385754 51
8.391862 47
8.397969 52
8.404077 38
8.410184 35
8.416292 30
8.422400 53
8.428507 37
8.434615 41
8.440723 41
8.446830 44
8.452938 45
8.459045 38
8.465153 55
8.471261 38
8.477368 42
8.483476 38
8.489583 36
8.495691 36
8.501799 33
8.507906 49
8.514014 28
8.520122 42
8.526229 34
8.532337 43
8.538444 38
8.544552 45
8.550660 46
8.556767 52
8.562875 79
8.568982 81
8.575090 174
8.581198 257
8.587305 467
8.593413 727
8.599520 1179
8.605628 1719
8.611736 2885
8.617843 4627
8.623951 6755
8.630059 9824
8.636166 15406
8.642274 21045
8.648381 26867
8.654489 35278
8.660597 46736
8.666704 59786
8.672812 66711
8.678919 73555
8.685027 90154
8.691135 101237
8.697242 105790
8.703350 115742
8.709458 130236
8.715565 141952
8.721673 142705
8.727780 143652
8.733888 162112
8.739996 164624
8.746103 161271
8.752211 165476
8.758318 176640
8.764426 178942
8.770534 172582
8.776641 167093
8.782749 178783
8.788857 172609
8.794964 164444
8.801072 162428
8.807179 168373
8.813287 165999
8.819395 156384
8.825502 147565
8.831610 155982
8.837717 150003
8.843825 140252
8.849933 138903
8.856040 143348
8.862148 144064
8.868255 132366
8.874363 123959
8.880471 131496
8.886578 125384
8.892686 118859
8.898794 117656
8.904901 120671
8.911009 119234
8.917116 112303
8.923224 106871
8.929332 112928
8.935439 108040
8.941547 101863
8.947654 100211
8.953762 103269
8.959870 102011
8.965977 95803
8.972085 90662
8.978193 95689
8.984300 91993
8.990408 86749
8.996515 84780
9.002623 87737
9.008731 86814
9.014838 81095
9.020946 76429
9.027053 80695
9.033161 77432
9.039269 72866
9.045376 72175
9.051484 73882
9.057592 75201
9.063699 68577
9.069807 64370
9.075914 69001
9.082022 65515
9.088130 61756
9.094237 61385
9.100345 63602
9.106452 63072
9.112560 58511
9.118668 55490
9.124775 58802
9.130883 56984
9.136991 53149
9.143098 52919
9.149206 54216
9.155313 53514
9.161421 50582
9.167529 48172
9.173636 50936
9.179744 49134
9.185851 46110
9.191959 45332
9.198067 47202
9.204174 46387
9.210282 43828
9.216389 41136
9.222497 43660
9.228605 41916
9.234712 39790
9.240820 39321
9.246928 40587
9.253035 41434
9.259143 38247
9.265250 36044
9.271358 37472
9.277466 36150
9.283573 34413
9.289681 34492
9.295788 35191
9.301896 35280
9.308004 32915
9.314111 30991
9.320219 32918
9.326327 31948
9.332434 30170
9.338542 29824
9.344649 30934
9.350757 30079
9.356865 28718
9.362972 27230
9.369080 29201
9.375187 27609
9.381295 26265
9.387403 26239
9.393510 26954
9.399618 26646
9.405726 25150
9.411833 23979
9.417941 25189
9.424048 24449
9.430156 22989
9.436264 22732
9.442371 23667
9.448479 23983
9.454586 22186
9.460694 20674
9.466802 22173
9.472909 21692
9.479017 20256
9.485125 19746
9.491232 20985
9.497340 20531
9.503447 19147
9.509555 18431
9.515663 19580
9.521770 18529
9.527878 17800
9.533985 17372
9.540093 18127
9.546201 18020
9.552308 16704
9.558416 16059
9.564523 17224
9.570631 16440
9.576739 15478
9.582846 15342
9.588954 15659
9.595062 15863
9.601169 14804
9.607277 13931
9.613384 15234
9.619492 14650
9.625600 13823
9.631707 13482
9.637815 14026
9.643922 14196
9.650030 13061
9.656138 12528
9.662245 13533
9.668353 12672
9.674461 12014
9.680568 11868
9.686676 12324
9.692783 12595
9.698891 11703
9.704999 11217
9.711106 11683
9.717214 11280
9.723321 10836
9.729429 10687
9.735537 10857
9.741644 10716
9.747752 10318
9.753860 9671
9.759967 10293
9.766075 10066
9.772182 9491
9.778290 9352
9.784398 9755
9.790505 9667
9.796613 9164
9.802720 8667
9.808828 9296
9.814936 8849
9.821043 8382
9.827151 8361
9.833259 8781
9.839366 8780
9.845474 8212
9.851581 7807
9.857689 8227
9.863797 7894
9.869904 7556
9.876012 7456
9.882119 7609
9.888227 7849
9.894335 7169
9.900442 6961
9.906550 7394
9.912657 7042
