  Title : TRcurve_10mm_SDS_750nm_10secInt_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-10-11
  Time : 09:24:17
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
9.479017 5770
9.485125 5576
9.491232 5720
9.497340 5627
9.503447 5417
9.509555 4995
9.515663 5266
9.521770 5176
9.527878 4759
9.533985 4677
9.540093 5005
9.546201 4810
9.552308 4654
9.558416 4351
9.564523 4470
9.570631 4428
9.576739 4161
9.582846 3923
9.588954 4108
9.595062 4251
9.601169 3956
9.607277 3763
9.613384 3908
9.619492 3651
9.625600 3435
9.631707 3478
9.637815 3667
9.643922 3558
9.650030 3396
9.656138 3251
9.662245 3447
9.668353 3139
9.674461 3052
9.680568 2932
9.686676 3084
9.692783 3070
9.698891 2876
9.704999 2692
9.711106 2833
9.717214 2776
9.723321 2659
9.729429 2650
9.735537 2731
9.741644 2640
9.747752 2529
9.753860 2418
9.759967 2467
9.766075 2350
9.772182 2223
9.778290 2287
9.784398 2304
9.790505 2272
9.796613 2202
9.802720 2054
9.808828 2126
9.814936 2043
9.821043 2047
9.827151 1930
9.833259 1991
9.839366 1932
9.845474 1805
9.851581 1841
9.857689 1861
9.863797 1778
9.869904 1668
9.876012 1668
9.882119 1760
9.888227 1751
9.894335 1574
9.900442 1503
9.906550 1498
9.912657 1579
9.918765 1451
9.924873 1428
9.930980 1431
9.937088 1449
9.943196 1433
9.949303 1303
9.955411 1324
9.961518 1328
9.967626 1265
9.973734 1192
9.979841 1268
9.985949 1195
9.992056 1195
9.998164 1162
10.004272 1246
10.010379 1126
10.016487 1063
10.022595 1096
10.028702 1116
10.034810 1181
10.040917 1015
10.047025 1001
10.053133 1010
10.059240 999
10.065348 912
10.071455 922
10.077563 924
10.083671 1043
10.089778 903
10.095886 865
10.101994 936
10.108101 940
10.114209 788
10.120316 790
10.126424 869
10.132532 829
10.138639 775
10.144747 778
10.150854 800
10.156962 742
10.163070 682
10.169177 700
10.175285 752
10.181393 766
10.187500 692
10.193608 686
10.199715 654
10.205823 651
10.211931 609
10.218038 628
10.224146 632
10.230253 646
10.236361 572
10.242469 587
10.248576 576
10.254684 585
10.260791 578
10.266899 524
10.273007 548
10.279114 570
10.285222 505
10.291330 505
10.297437 534
10.303545 504
10.309652 472
10.315760 464
10.321868 488
10.327975 487
10.334083 434
10.340190 404
10.346298 447
10.352406 435
10.358513 398
10.364621 380
10.370729 450
10.376836 380
10.382944 364
10.389051 385
10.395159 400
10.401267 395
10.407374 369
10.413482 368
10.419589 387
10.425697 357
10.431805 333
10.437912 324
10.444020 337
10.450128 331
10.456235 288
10.462343 306
10.468450 345
10.474558 319
10.480666 309
10.486773 283
10.492881 335
10.498988 286
10.505096 287
10.511204 262
10.517311 315
10.523419 275
10.529527 292
10.535634 226
10.541742 253
10.547849 269
10.553957 242
10.560065 223
10.566172 246
10.572280 246
10.578387 228
10.584495 228
10.590603 228
10.596710 227
10.602818 234
10.608925 212
10.615033 235
10.621141 218
10.627248 189
10.633356 195
10.639464 194
10.645571 186
10.651679 185
10.657786 194
10.663894 209
10.670002 191
10.676109 195
10.682217 182
10.688324 202
10.694432 135
10.700540 185
10.706647 150
10.712755 157
10.718863 159
10.724970 132
10.731078 161
10.737185 170
